BBB Time,Mav Time,Mav Alt,Mav Lat,Mav Lon,,,,,,,
09:28.0,596981,64650,492562288,-1229222250,,,,,,,
09:28.3,597074,64350,492562293,-1229222271,,,,,,,
09:28.4,597174,64350,492562293,-1229222271,,,,0.041666667,,,
09:28.5,597276,64100,492562302,-1229222289,,,,,,,
09:28.6,597374,64100,492562302,-1229222289,,,,,,,
09:28.7,597474,63630,492562295,-1229222311,,,,,,,
09:28.8,597574,63630,492562295,-1229222311,,,,,,,
09:28.9,597676,63390,492562288,-1229222323,,,,,,,
09:29.0,597774,63390,492562288,-1229222323,,,,,,,
09:29.1,597874,63200,492562277,-1229222335,,,,,,,
09:29.2,597974,63200,492562277,-1229222335,,,,,,,
09:29.3,598074,62990,492562283,-1229222353,,,,,,,
09:29.4,598174,62990,492562283,-1229222353,,,,,,,
20:10.3,1237174,49190,492564701,-1229223973,,dl ts,mav ts,,,dl ts,mav ts
20:10.4,1237274,49320,492564697,-1229223969,,0.113425926,0.1,,max,0.34837963,0.3
20:10.5,1237376,49320,492564697,-1229223969,,0.115740741,0.102,,average,0.116107362,0.100033921
20:10.8,1237676,49410,492564685,-1229223981,,0.34837963,0.3,,,,
20:10.9,1237776,49410,492564685,-1229223981,,0.119212963,0.1,,,,
20:11.0,1237876,49530,492564689,-1229223983,,0.113425926,0.1,,,,
20:11.1,1237976,49530,492564689,-1229223983,,0.115740741,0.1,,,,
20:11.2,1238076,49680,492564696,-1229223980,,0.115740741,0.1,,,,
20:11.3,1238174,49680,492564696,-1229223980,,0.115740741,0.098,,,,
20:11.4,1238274,49870,492564694,-1229223981,,0.116898148,0.1,,,,
20:11.5,1238376,49870,492564694,-1229223981,,0.115740741,0.102,,,,
20:11.6,1238474,49940,492564678,-1229223985,,0.115740741,0.098,,,,
20:11.7,1238576,49940,492564678,-1229223985,,0.119212963,0.102,,,,
20:11.8,1238674,49960,492564659,-1229223971,,0.113425926,0.098,,,,
20:11.9,1238778,49960,492564659,-1229223971,,0.119212963,0.104,,,,
20:12.0,1238874,49940,492564643,-1229223955,,0.112268519,0.096,,,,
20:12.1,1238976,49940,492564643,-1229223955,,0.115740741,0.102,,,,
20:12.2,1239074,49760,492564633,-1229223942,,0.116898148,0.098,,,,
20:12.3,1239174,49760,492564633,-1229223942,,0.115740741,0.1,,,,
20:12.4,1239274,49980,492564645,-1229223935,,0.119212963,0.1,,,,
20:12.5,1239374,49980,492564645,-1229223935,,0.112268519,0.1,,,,
20:12.6,1239474,50300,492564655,-1229223927,,0.116898148,0.1,,,,
20:12.7,1239578,50300,492564655,-1229223927,,0.115740741,0.104,,,,
20:12.8,1239676,50540,492564642,-1229223918,,0.115740741,0.098,,,,
20:12.9,1239776,50540,492564642,-1229223918,,0.121527778,0.1,,,,
20:13.0,1239876,50750,492564632,-1229223909,,0.111111111,0.1,,,,
20:13.1,1239974,50750,492564632,-1229223909,,0.115740741,0.098,,,,
20:13.2,1240074,50760,492564616,-1229223901,,0.116898148,0.1,,,,
20:13.3,1240174,50760,492564616,-1229223901,,0.115740741,0.1,,,,
20:13.4,1240276,51010,492564619,-1229223892,,0.115740741,0.102,,,,
20:13.5,1240378,51010,492564619,-1229223892,,0.119212963,0.102,,,,
20:13.6,1240476,51310,492564624,-1229223866,,0.113425926,0.098,,,,
20:13.7,1240576,51310,492564624,-1229223866,,0.115740741,0.1,,,,
20:13.8,1240674,51170,492564615,-1229223850,,0.115740741,0.098,,,,
20:13.9,1240774,51170,492564615,-1229223850,,0.12037037,0.1,,,,
20:14.0,1240876,51040,492564604,-1229223851,,0.112268519,0.102,,,,
20:14.1,1240976,51040,492564604,-1229223851,,0.115740741,0.1,,,,
20:14.2,1241076,50920,492564599,-1229223857,,0.116898148,0.1,,,,
20:14.3,1241174,50920,492564599,-1229223857,,0.115740741,0.098,,,,
20:14.4,1241276,50830,492564596,-1229223861,,0.115740741,0.102,,,,
20:14.5,1241378,50830,492564596,-1229223861,,0.116898148,0.102,,,,
20:14.6,1241476,50890,492564602,-1229223877,,0.115740741,0.098,,,,
20:14.7,1241574,50890,492564602,-1229223877,,0.115740741,0.098,,,,
20:14.8,1241674,50970,492564620,-1229223889,,0.116898148,0.1,,,,
20:14.9,1241774,50970,492564620,-1229223889,,0.123842593,0.1,,,,
20:15.0,1241876,51100,492564628,-1229223897,,0.107638889,0.102,,,,
20:15.1,1241974,51100,492564628,-1229223897,,0.116898148,0.098,,,,
20:15.2,1242074,51160,492564621,-1229223907,,0.115740741,0.1,,,,
20:15.3,1242176,51160,492564621,-1229223907,,0.115740741,0.102,,,,
20:15.4,1242274,51090,492564608,-1229223922,,0.116898148,0.098,,,,
20:15.5,1242376,51090,492564608,-1229223922,,0.115740741,0.102,,,,
20:15.6,1242475,51260,492564613,-1229223931,,0.115740741,0.099,,,,
20:15.7,1242574,51260,492564613,-1229223931,,0.116898148,0.099,,,,
20:15.8,1242676,51540,492564626,-1229223931,,0.115740741,0.102,,,,
20:15.9,1242774,51540,492564626,-1229223931,,0.119212963,0.098,,,,
20:16.0,1242874,51530,492564629,-1229223937,,0.113425926,0.1,,,,
20:16.1,1242976,51530,492564629,-1229223937,,0.115740741,0.102,,,,
20:16.2,1243074,51610,492564620,-1229223940,,0.115740741,0.098,,,,
20:16.3,1243174,51610,492564620,-1229223940,,0.116898148,0.1,,,,
20:16.4,1243276,51660,492564614,-1229223950,,0.115740741,0.102,,,,
20:16.5,1243374,51660,492564614,-1229223950,,0.115740741,0.098,,,,
20:16.6,1243474,51980,492564615,-1229223948,,0.116898148,0.1,,,,
20:16.7,1243574,51980,492564615,-1229223948,,0.114583333,0.1,,,,
20:16.8,1243676,52330,492564627,-1229223960,,0.116898148,0.102,,,,
20:16.9,1243776,52330,492564627,-1229223960,,0.119212963,0.1,,,,
20:17.0,1243876,52420,492564636,-1229223979,,0.118055556,0.1,,,,
20:17.1,1243974,52420,492564636,-1229223979,,0.111111111,0.098,,,,
20:17.2,1244074,52480,492564648,-1229223984,,0.115740741,0.1,,,,
20:17.3,1244178,52480,492564648,-1229223984,,0.119212963,0.104,,,,
20:17.4,1244274,52790,492564655,-1229223978,,0.113425926,0.096,,,,
20:17.5,1244376,52790,492564655,-1229223978,,0.116898148,0.102,,,,
20:17.6,1244474,53010,492564648,-1229223982,,0.115740741,0.098,,,,
20:17.7,1244576,53010,492564648,-1229223982,,0.115740741,0.102,,,,
20:17.8,1244674,53260,492564645,-1229223986,,0.115740741,0.098,,,,
20:17.9,1244774,53260,492564645,-1229223986,,0.12037037,0.1,,,,
20:18.0,1244874,53360,492564639,-1229223988,,0.115740741,0.1,,,,
20:18.1,1244976,53360,492564639,-1229223988,,0.113425926,0.102,,,,
20:18.2,1245076,53250,492564641,-1229224009,,0.114583333,0.1,,,,
20:18.3,1245174,53250,492564641,-1229224009,,0.116898148,0.098,,,,
20:18.4,1245276,53350,492564624,-1229224005,,0.116898148,0.102,,,,
20:18.5,1245378,53350,492564624,-1229224005,,0.115740741,0.102,,,,
20:18.6,1245474,53260,492564587,-1229223997,,0.115740741,0.096,,,,
20:18.7,1245574,53260,492564587,-1229223997,,0.115740741,0.1,,,,
20:18.8,1245674,53150,492564546,-1229223991,,0.116898148,0.1,,,,
20:18.9,1245776,53150,492564546,-1229223991,,0.119212963,0.102,,,,
20:19.0,1245876,53050,492564510,-1229223992,,0.112268519,0.1,,,,
20:19.1,1245979,53050,492564510,-1229223992,,0.121527778,0.103,,,,
20:19.2,1246074,52960,492564491,-1229223990,,0.111111111,0.095,,,,
20:19.3,1246181,52960,492564491,-1229223990,,0.119212963,0.107,,,,
20:19.4,1246276,52900,492564467,-1229223976,,0.113425926,0.095,,,,
20:19.5,1246376,52900,492564467,-1229223976,,0.115740741,0.1,,,,
20:19.6,1246474,52750,492564422,-1229223962,,0.115740741,0.098,,,,
20:19.7,1246578,52750,492564422,-1229223962,,0.116898148,0.104,,,,
20:19.8,1246678,52610,492564368,-1229223957,,0.115740741,0.1,,,,
20:19.9,1246774,52610,492564368,-1229223957,,0.119212963,0.096,,,,
20:20.0,1246876,52610,492564339,-1229223967,,0.113425926,0.102,,,,
20:20.1,1246974,52610,492564339,-1229223967,,0.115740741,0.098,,,,
20:20.2,1247074,52780,492564328,-1229223978,,0.115740741,0.1,,,,
20:20.3,1247176,52780,492564328,-1229223978,,0.116898148,0.102,,,,
20:20.4,1247274,52700,492564321,-1229223988,,0.115740741,0.098,,,,
20:20.5,1247374,52700,492564321,-1229223988,,0.115740741,0.1,,,,
20:20.6,1247474,52820,492564315,-1229223995,,0.116898148,0.1,,,,
20:20.7,1247576,52820,492564315,-1229223995,,0.115740741,0.102,,,,
20:20.8,1247674,53270,492564305,-1229223981,,0.115740741,0.098,,,,
20:20.9,1247781,53270,492564305,-1229223981,,0.125,0.107,,,,
20:21.0,1247874,53180,492564279,-1229223984,,0.107638889,0.093,,,,
20:21.1,1247975,53180,492564279,-1229223984,,0.115740741,0.101,,,,
20:21.2,1248074,53040,492564257,-1229223996,,0.116898148,0.099,,,,
20:21.3,1248176,53040,492564257,-1229223996,,0.115740741,0.102,,,,
20:21.4,1248275,53250,492564263,-1229223999,,0.115740741,0.099,,,,
20:21.5,1248376,53250,492564263,-1229223999,,0.115740741,0.101,,,,
20:21.6,1248476,53330,492564257,-1229223982,,0.115740741,0.1,,,,
20:21.7,1248576,53330,492564257,-1229223982,,0.116898148,0.1,,,,
20:21.8,1248676,53450,492564240,-1229223970,,0.115740741,0.1,,,,
20:21.9,1248774,53450,492564240,-1229223970,,0.12037037,0.098,,,,
20:22.0,1248874,53700,492564229,-1229223952,,0.112268519,0.1,,,,
20:22.1,1248976,53700,492564229,-1229223952,,0.115740741,0.102,,,,
20:22.2,1249074,53660,492564225,-1229223950,,0.116898148,0.098,,,,
20:22.3,1249174,53660,492564225,-1229223950,,0.115740741,0.1,,,,
20:22.4,1249276,53330,492564210,-1229223954,,0.115740741,0.102,,,,
20:22.5,1249374,53330,492564210,-1229223954,,0.119212963,0.098,,,,
20:22.6,1249474,53230,492564232,-1229223975,,0.113425926,0.1,,,,
20:22.7,1249574,53230,492564232,-1229223975,,0.115740741,0.1,,,,
20:22.8,1249674,53190,492564262,-1229224013,,0.115740741,0.1,,,,
20:22.9,1249774,53190,492564262,-1229224013,,0.12037037,0.1,,,,
20:23.0,1249876,53300,492564264,-1229224026,,0.113425926,0.102,,,,
20:23.1,1249974,53300,492564264,-1229224026,,0.115740741,0.098,,,,
20:23.2,1250075,53460,492564273,-1229224046,,0.115740741,0.101,,,,
20:23.3,1250174,53460,492564273,-1229224046,,0.116898148,0.099,,,,
20:23.4,1250276,53520,492564298,-1229224068,,0.115740741,0.102,,,,
20:23.5,1250374,53520,492564298,-1229224068,,0.116898148,0.098,,,,
20:23.6,1250474,53620,492564312,-1229224092,,0.115740741,0.1,,,,
20:23.7,1250574,53620,492564312,-1229224092,,0.115740741,0.1,,,,
20:23.8,1250676,53890,492564322,-1229224097,,0.116898148,0.102,,,,
20:23.9,1250778,53890,492564322,-1229224097,,0.119212963,0.102,,,,
20:24.0,1250874,53970,492564314,-1229224106,,0.112268519,0.096,,,,
20:24.1,1250976,53970,492564314,-1229224106,,0.116898148,0.102,,,,
20:24.2,1251076,54290,492564308,-1229224117,,0.115740741,0.1,,,,
20:24.3,1251178,54290,492564308,-1229224117,,0.115740741,0.102,,,,
20:24.4,1251274,54130,492564303,-1229224140,,0.119212963,0.096,,,,
20:24.5,1251374,54130,492564303,-1229224140,,0.113425926,0.1,,,,
20:24.6,1251476,54160,492564321,-1229224166,,0.115740741,0.102,,,,
20:24.7,1251576,54160,492564321,-1229224166,,0.116898148,0.1,,,,
20:24.8,1251674,54860,492564335,-1229224143,,0.115740741,0.098,,,,
20:24.9,1251774,54860,492564335,-1229224143,,0.12037037,0.1,,,,
20:25.0,1251874,55210,492564345,-1229224129,,0.112268519,0.1,,,,
20:25.1,1251975,55210,492564345,-1229224129,,0.115740741,0.101,,,,
20:25.2,1252075,55360,492564339,-1229224115,,0.115740741,0.1,,,,
20:25.3,1252178,55360,492564339,-1229224115,,0.116898148,0.103,,,,
20:25.4,1252276,55510,492564346,-1229224096,,0.115740741,0.098,,,,
20:25.5,1252376,55510,492564346,-1229224096,,0.116898148,0.1,,,,
20:25.6,1252476,55940,492564363,-1229224079,,0.115740741,0.1,,,,
20:25.7,1252574,55940,492564363,-1229224079,,0.115740741,0.098,,,,
20:25.8,1252674,56060,492564382,-1229224090,,0.116898148,0.1,,,,
20:25.9,1252774,56060,492564382,-1229224090,,0.119212963,0.1,,,,
20:26.0,1252874,56170,492564385,-1229224107,,0.112268519,0.1,,,,
20:26.1,1252976,56170,492564385,-1229224107,,0.115740741,0.102,,,,
20:26.2,1253076,56540,492564403,-1229224121,,0.116898148,0.1,,,,
20:26.3,1253174,56540,492564403,-1229224121,,0.115740741,0.098,,,,
20:26.5,1253274,57100,492564435,-1229224109,,0.146990741,0.1,,,,
20:26.5,1253374,57100,492564435,-1229224109,,0.086805556,0.1,,,,
20:26.6,1253474,57560,492564470,-1229224101,,0.114583333,0.1,,,,
20:26.7,1253576,57560,492564470,-1229224101,,0.116898148,0.102,,,,
20:26.8,1253674,58150,492564506,-1229224098,,0.115740741,0.098,,,,
20:26.9,1253774,58150,492564506,-1229224098,,0.119212963,0.1,,,,
20:27.0,1253876,58430,492564516,-1229224105,,0.113425926,0.102,,,,
20:27.1,1253974,58430,492564516,-1229224105,,0.115740741,0.098,,,,
20:27.2,1254076,58650,492564534,-1229224121,,0.115740741,0.102,,,,
20:27.3,1254174,58650,492564534,-1229224121,,0.116898148,0.098,,,,
20:27.4,1254276,58920,492564562,-1229224124,,0.115740741,0.102,,,,
20:27.5,1254374,58920,492564562,-1229224124,,0.115740741,0.098,,,,
20:27.6,1254474,59340,492564582,-1229224121,,0.116898148,0.1,,,,
20:27.7,1254574,59340,492564582,-1229224121,,0.115740741,0.1,,,,
20:27.8,1254674,59940,492564604,-1229224117,,0.115740741,0.1,,,,
20:27.9,1254776,59940,492564604,-1229224117,,0.12037037,0.102,,,,
20:28.0,1254876,60590,492564626,-1229224117,,0.112268519,0.1,,,,
20:28.1,1254976,60590,492564626,-1229224117,,0.115740741,0.1,,,,
20:28.2,1255076,61250,492564660,-1229224119,,0.116898148,0.1,,,,
20:28.3,1255176,61250,492564660,-1229224119,,0.119212963,0.1,,,,
20:28.4,1255276,61730,492564701,-1229224123,,0.112268519,0.1,,,,
20:28.5,1255374,61730,492564701,-1229224123,,0.116898148,0.098,,,,
20:28.6,1255474,62250,492564734,-1229224129,,0.115740741,0.1,,,,
20:28.7,1255574,62250,492564734,-1229224129,,0.115740741,0.1,,,,
20:28.8,1255674,62860,492564762,-1229224129,,0.116898148,0.1,,,,
20:28.9,1255774,62860,492564762,-1229224129,,0.119212963,0.1,,,,
20:29.0,1255874,63240,492564783,-1229224133,,0.112268519,0.1,,,,
20:29.1,1255976,63240,492564783,-1229224133,,0.116898148,0.102,,,,
20:29.2,1256074,63420,492564801,-1229224143,,0.115740741,0.098,,,,
20:29.3,1256174,63420,492564801,-1229224143,,0.116898148,0.1,,,,
20:29.4,1256274,63450,492564832,-1229224134,,0.115740741,0.1,,,,
20:29.5,1256378,63450,492564832,-1229224134,,0.119212963,0.104,,,,
20:29.6,1256476,63490,492564853,-1229224127,,0.113425926,0.098,,,,
20:29.7,1256574,63490,492564853,-1229224127,,0.115740741,0.098,,,,
20:29.8,1256676,63560,492564862,-1229224131,,0.115740741,0.102,,,,
20:29.9,1256774,63560,492564862,-1229224131,,0.12037037,0.098,,,,
20:30.0,1256876,63710,492564874,-1229224159,,0.112268519,0.102,,,,
20:30.1,1256974,63710,492564874,-1229224159,,0.115740741,0.098,,,,
20:30.2,1257075,64210,492564900,-1229224177,,0.115740741,0.101,,,,
20:30.3,1257176,64210,492564900,-1229224177,,0.116898148,0.101,,,,
20:30.4,1257274,64670,492564950,-1229224201,,0.115740741,0.098,,,,
20:30.5,1257374,64670,492564950,-1229224201,,0.115740741,0.1,,,,
20:30.6,1257478,65170,492564987,-1229224228,,0.116898148,0.104,,,,
20:30.7,1257576,65170,492564987,-1229224228,,0.115740741,0.098,,,,
20:30.8,1257674,65950,492565018,-1229224242,,0.115740741,0.098,,,,
20:30.9,1257774,65950,492565018,-1229224242,,0.12037037,0.1,,,,
20:31.0,1257874,66370,492565042,-1229224274,,0.112268519,0.1,,,,
20:31.1,1257976,66370,492565042,-1229224274,,0.115740741,0.102,,,,
20:31.2,1258074,66840,492565064,-1229224297,,0.116898148,0.098,,,,
20:31.3,1258174,66840,492565064,-1229224297,,0.115740741,0.1,,,,
20:31.4,1258274,67250,492565079,-1229224305,,0.115740741,0.1,,,,
20:31.5,1258376,67250,492565079,-1229224305,,0.116898148,0.102,,,,
20:31.6,1258476,67400,492565086,-1229224324,,0.115740741,0.1,,,,
20:31.7,1258574,67400,492565086,-1229224324,,0.115740741,0.098,,,,
20:31.8,1258674,67290,492565094,-1229224360,,0.115740741,0.1,,,,
20:31.9,1258774,67290,492565094,-1229224360,,0.12037037,0.1,,,,
20:32.0,1258876,67510,492565125,-1229224389,,0.112268519,0.102,,,,
20:32.1,1258974,67510,492565125,-1229224389,,0.115740741,0.098,,,,
20:32.2,1259074,67520,492565148,-1229224407,,0.116898148,0.1,,,,
20:32.3,1259174,67520,492565148,-1229224407,,0.115740741,0.1,,,,
20:32.4,1259274,67960,492565159,-1229224409,,0.115740741,0.1,,,,
20:32.5,1259376,67960,492565159,-1229224409,,0.116898148,0.102,,,,
20:32.6,1259474,67960,492565157,-1229224422,,0.115740741,0.098,,,,
20:32.7,1259574,67960,492565157,-1229224422,,0.115740741,0.1,,,,
20:32.8,1259674,67770,492565164,-1229224443,,0.116898148,0.1,,,,
20:33.0,1259776,67770,492565164,-1229224443,,0.119212963,0.102,,,,
20:33.0,1259874,67840,492565184,-1229224448,,0.112268519,0.098,,,,
20:33.1,1259974,67840,492565184,-1229224448,,0.115740741,0.1,,,,
20:33.2,1260074,67840,492565184,-1229224448,,0.116898148,0.1,,,,
20:33.3,1260174,67620,492565217,-1229224464,,0.115740741,0.1,,,,
20:33.4,1260276,67500,492565244,-1229224486,,0.115740741,0.102,,,,
20:33.5,1260378,67500,492565244,-1229224486,,0.116898148,0.102,,,,
20:33.6,1260474,67500,492565254,-1229224501,,0.115740741,0.096,,,,
20:33.7,1260576,67500,492565254,-1229224501,,0.115740741,0.102,,,,
20:33.8,1260674,67610,492565270,-1229224517,,0.115740741,0.098,,,,
20:34.0,1260776,67610,492565270,-1229224517,,0.12037037,0.102,,,,
20:34.1,1260874,67730,492565293,-1229224526,,0.112268519,0.098,,,,
20:34.2,1260974,67730,492565293,-1229224526,,0.115740741,0.1,,,,
20:34.2,1261074,67650,492565337,-1229224538,,0.115740741,0.1,,,,
20:34.4,1261174,67650,492565337,-1229224538,,0.116898148,0.1,,,,
20:34.5,1261274,67960,492565384,-1229224529,,0.115740741,0.1,,,,
20:34.6,1261376,67960,492565384,-1229224529,,0.115740741,0.102,,,,
20:34.7,1261476,68220,492565429,-1229224523,,0.116898148,0.1,,,,
20:34.8,1261574,68220,492565429,-1229224523,,0.115740741,0.098,,,,
20:34.9,1261674,68320,492565479,-1229224522,,0.119212963,0.1,,,,
20:35.0,1261778,68320,492565479,-1229224522,,0.116898148,0.104,,,,
20:35.1,1261874,68600,492565519,-1229224532,,0.111111111,0.096,,,,
20:35.2,1261974,68600,492565519,-1229224532,,0.116898148,0.1,,,,
20:35.3,1262076,68850,492565535,-1229224547,,0.115740741,0.102,,,,
20:35.4,1262176,68850,492565535,-1229224547,,0.116898148,0.1,,,,
20:35.5,1262274,69010,492565528,-1229224550,,0.115740741,0.098,,,,
20:35.6,1262374,69010,492565528,-1229224550,,0.115740741,0.1,,,,
20:35.7,1262474,68930,492565515,-1229224559,,0.115740741,0.1,,,,
20:35.8,1262576,68930,492565515,-1229224559,,0.116898148,0.102,,,,
20:35.9,1262678,68960,492565517,-1229224584,,0.115740741,0.102,,,,
20:36.0,1262776,68960,492565517,-1229224584,,0.125,0.098,,,,
20:36.1,1262878,69470,492565522,-1229224584,,0.107638889,0.102,,,,
20:36.2,1262974,69470,492565522,-1229224584,,0.115740741,0.096,,,,
20:36.3,1263074,69570,492565528,-1229224574,,0.115740741,0.1,,,,
20:36.4,1263174,69570,492565528,-1229224574,,0.115740741,0.1,,,,
20:36.5,1263274,69490,492565529,-1229224563,,0.116898148,0.1,,,,
20:36.6,1263376,69490,492565529,-1229224563,,0.115740741,0.102,,,,
20:36.7,1263474,69620,492565550,-1229224558,,0.115740741,0.098,,,,
20:36.8,1263574,69620,492565550,-1229224558,,0.116898148,0.1,,,,
20:36.9,1263676,69840,492565553,-1229224558,,0.115740741,0.102,,,,
20:37.0,1263781,69840,492565553,-1229224558,,0.119212963,0.105,,,,
20:37.1,1263874,69810,492565551,-1229224564,,0.113425926,0.093,,,,
20:37.2,1263974,69810,492565551,-1229224564,,0.115740741,0.1,,,,
20:37.3,1264074,69550,492565539,-1229224576,,0.115740741,0.1,,,,
20:37.4,1264174,69550,492565539,-1229224576,,0.115740741,0.1,,,,
20:37.5,1264274,69690,492565546,-1229224575,,0.116898148,0.1,,,,
20:37.6,1264374,69690,492565546,-1229224575,,0.119212963,0.1,,,,
20:37.7,1264474,69620,492565538,-1229224569,,0.112268519,0.1,,,,
20:37.8,1264576,69620,492565538,-1229224569,,0.116898148,0.102,,,,
20:37.9,1264676,69410,492565530,-1229224560,,0.115740741,0.1,,,,
20:38.0,1264776,69410,492565530,-1229224560,,0.119212963,0.1,,,,
20:38.1,1264874,69090,492565520,-1229224551,,0.113425926,0.098,,,,
20:38.2,1264976,69090,492565520,-1229224551,,0.115740741,0.102,,,,
20:38.3,1265074,68950,492565516,-1229224563,,0.115740741,0.098,,,,
20:38.4,1265174,68950,492565516,-1229224563,,0.116898148,0.1,,,,
20:38.5,1265274,69120,492565512,-1229224566,,0.115740741,0.1,,,,
20:38.6,1265374,69120,492565512,-1229224566,,0.115740741,0.1,,,,
20:38.7,1265474,69170,492565504,-1229224566,,0.116898148,0.1,,,,
20:38.8,1265576,69170,492565504,-1229224566,,0.115740741,0.102,,,,
20:38.9,1265676,69340,492565491,-1229224552,,0.115740741,0.1,,,,
20:39.0,1265774,69340,492565491,-1229224552,,0.119212963,0.098,,,,
20:39.1,1265874,69250,492565475,-1229224560,,0.113425926,0.1,,,,
20:39.2,1265976,69250,492565475,-1229224560,,0.115740741,0.102,,,,
20:39.3,1266074,69240,492565489,-1229224577,,0.115740741,0.098,,,,
20:39.4,1266176,69240,492565489,-1229224577,,0.116898148,0.102,,,,
20:39.5,1266276,69690,492565507,-1229224578,,0.115740741,0.1,,,,
20:39.6,1266376,69690,492565507,-1229224578,,0.115740741,0.1,,,,
20:39.7,1266476,69920,492565506,-1229224572,,0.116898148,0.1,,,,
20:39.8,1266574,69920,492565506,-1229224572,,0.115740741,0.098,,,,
20:39.9,1266676,70140,492565505,-1229224567,,0.115740741,0.102,,,,
20:40.0,1266776,70140,492565505,-1229224567,,0.12037037,0.1,,,,
20:40.1,1266876,70390,492565513,-1229224567,,0.112268519,0.1,,,,
20:40.2,1266974,70390,492565513,-1229224567,,0.115740741,0.098,,,,
20:40.3,1267074,70330,492565521,-1229224584,,0.116898148,0.1,,,,
20:40.4,1267176,70330,492565521,-1229224584,,0.115740741,0.102,,,,
20:40.5,1267276,70420,492565531,-1229224592,,0.115740741,0.1,,,,
20:40.6,1267378,70420,492565531,-1229224592,,0.115740741,0.102,,,,
20:40.7,1267474,70790,492565540,-1229224581,,0.115740741,0.096,,,,
20:40.8,1267576,70790,492565540,-1229224581,,0.116898148,0.102,,,,
20:40.9,1267674,70790,492565536,-1229224583,,0.115740741,0.098,,,,
20:41.0,1267778,70790,492565536,-1229224583,,0.125,0.104,,,,
20:41.1,1267876,70770,492565534,-1229224586,,0.107638889,0.098,,,,
20:41.2,1267974,70770,492565534,-1229224586,,0.115740741,0.098,,,,
20:41.3,1268074,70540,492565527,-1229224591,,0.115740741,0.1,,,,
20:41.4,1268174,70540,492565527,-1229224591,,0.115740741,0.1,,,,
20:41.5,1268274,70350,492565518,-1229224597,,0.116898148,0.1,,,,
20:41.6,1268376,70350,492565518,-1229224597,,0.115740741,0.102,,,,
20:41.7,1268474,70470,492565505,-1229224586,,0.115740741,0.098,,,,
20:41.8,1268574,70470,492565505,-1229224586,,0.115740741,0.1,,,,
20:41.9,1268674,70520,492565493,-1229224577,,0.116898148,0.1,,,,
20:42.0,1268774,70520,492565493,-1229224577,,0.119212963,0.1,,,,
20:42.1,1268874,70300,492565501,-1229224582,,0.112268519,0.1,,,,
20:42.2,1268976,70300,492565501,-1229224582,,0.115740741,0.102,,,,
20:42.3,1269074,70270,492565509,-1229224582,,0.116898148,0.098,,,,
20:42.4,1269176,70270,492565509,-1229224582,,0.115740741,0.102,,,,
20:42.5,1269274,70410,492565514,-1229224589,,0.119212963,0.098,,,,
20:42.6,1269374,70410,492565514,-1229224589,,0.113425926,0.1,,,,
20:42.7,1269474,70380,492565528,-1229224619,,0.114583333,0.1,,,,
20:42.8,1269578,70380,492565528,-1229224619,,0.116898148,0.104,,,,
20:42.9,1269674,70380,492565539,-1229224631,,0.115740741,0.096,,,,
20:43.0,1269784,70380,492565539,-1229224631,,0.128472222,0.11,,,,
20:43.1,1269874,70380,492565545,-1229224625,,0.104166667,0.09,,,,
20:43.2,1269976,70380,492565545,-1229224625,,0.115740741,0.102,,,,
20:43.3,1270078,70190,492565540,-1229224626,,0.119212963,0.102,,,,
20:43.4,1270175,70190,492565540,-1229224626,,0.113425926,0.097,,,,
20:43.5,1270274,70170,492565563,-1229224649,,0.115740741,0.099,,,,
20:43.6,1270376,70170,492565563,-1229224649,,0.115740741,0.102,,,,
20:43.7,1270476,70050,492565563,-1229224674,,0.116898148,0.1,,,,
20:43.8,1270576,70050,492565563,-1229224674,,0.115740741,0.1,,,,
20:43.9,1270674,70350,492565570,-1229224681,,0.115740741,0.098,,,,
20:44.0,1270776,70350,492565570,-1229224681,,0.12037037,0.102,,,,
20:44.1,1270874,70620,492565587,-1229224696,,0.112268519,0.098,,,,
20:44.2,1270976,70620,492565587,-1229224696,,0.115740741,0.102,,,,
20:44.3,1271074,70980,492565606,-1229224705,,0.115740741,0.098,,,,
20:44.4,1271174,70980,492565606,-1229224705,,0.116898148,0.1,,,,
20:44.5,1271278,70530,492565593,-1229224701,,0.119212963,0.104,,,,
20:44.6,1271374,70530,492565593,-1229224701,,0.112268519,0.096,,,,
20:44.7,1271476,70400,492565600,-1229224703,,0.116898148,0.102,,,,
20:44.8,1271574,70400,492565600,-1229224703,,0.115740741,0.098,,,,
20:44.9,1271676,70350,492565599,-1229224703,,0.115740741,0.102,,,,
20:45.0,1271774,70350,492565599,-1229224703,,0.12037037,0.098,,,,
20:45.1,1271876,69950,492565575,-1229224699,,0.112268519,0.102,,,,
20:45.2,1271974,69950,492565575,-1229224699,,0.115740741,0.098,,,,
20:45.3,1272076,69750,492565561,-1229224689,,0.116898148,0.102,,,,
20:45.4,1272174,69750,492565561,-1229224689,,0.115740741,0.098,,,,
20:45.5,1272274,69570,492565549,-1229224678,,0.115740741,0.1,,,,
20:45.6,1272378,69570,492565549,-1229224678,,0.115740741,0.104,,,,
20:45.7,1272476,69190,492565531,-1229224654,,0.116898148,0.098,,,,
20:45.8,1272576,69190,492565531,-1229224654,,0.115740741,0.1,,,,
20:45.9,1272674,68810,492565516,-1229224632,,0.115740741,0.098,,,,
20:46.0,1272781,68810,492565516,-1229224632,,0.12037037,0.107,,,,
20:46.1,1272874,68450,492565497,-1229224622,,0.112268519,0.093,,,,
